ID,EventID,Name,nameShort,Type,Description,titleLogo,file1,file2,file3,file4,doc1,doc2,doc3,doc4,MoY,DoM,Year,E_Moy,E_Dom,E_Year,etime,Venue,Speakers,HPShow,MIHPshow,blurb,publish,regdeadMoY,regdeadDoM,regdeadYear,CalDisplay,Picture,SSMA_TimeStamp,eventPrice,confirmationEmail,confirmationWeb,datecreated,datemodified,dateEvent,splashPage,splashURL,dateAsNum,campaignName,campaignID,campaignType,campaignOwner,campaignTypePublic,CventID
1,gc01,Global Conference 2001,NULL,GC,"This year's conference opened March 19 with a private dinner hosted by Mike Milken to tackle the issue of <I>Philanthropy in the 21st Century</i>. 
<P>
A record 1,500 people attended this year's event, which focused on new markets, biological breakthroughs and the impact of world economic fluctuations on social conditions around the globe.
<P>   
To view the 2001 Global Conference Briefing Book click here. 
<P>
To view summaries of the conference, please click on the links below. 
<P>  
Portions of the 2001 Global Conference are available for viewing on the web site of Direct Capital Markets, a conference sponsor. To view, click here. Audiotapes of conference sessions are available for purchase ($15 per session) through the Milken Institute. To order, please contact us by e-mail at publications@milkeninstitute.org. 
<P>

<b><u>Monday March 19, 2001</u></b>
<P>
Philanthropy in the 21st Century  Slides 
<P>
<b><u>Tuesday March 20, 2001</u></b>
<P>
<b>General Session - 8:00 am-9:30 am</b>
Michael Milken and the Nobel Laureates in Economic Science   <u>Slides</u>
<P>
9:45 am-11:15 am: Concurrent Sessions 
<P>
Antitrust  in the Old and New Economy  <U>Slides</u> 
<P>    
Europe: How Quickly is the World's Largest Economy Changing?   <u>Slides</u> 
<P>
Capitalizing on the Changing Global Financial Landscape.  <u>Slides</i> 
<P>
11:25 am-12:55 pm: Concurrent Sessions 
<P>
Privacy and the Cyber World  <U>Slides</u> 
<P>
Japan: Can it Return to Prominence?   <u>Slides </u>
<P>
Emerging Domestic Markets: An Opportunity   <U>Slides </u>
<P>
A Global Perspective  <U>Slides</u> 
<P>
2:45 pm-4:15 pm: Concurrent Sessions <br>
<P>
E-Commerce: What's Next?   <u>Slides </u>
<P>
Asia: Opportunities and Reforms?   <U>Slides</u> 
<P>
Digital Global Finance   <U>Slides</u> 
<P>
4:30 am-6:00 pm: Concurrent Sessions 
<P>
 High-Tech Clusters and Economic Growth   <U>Slides</u>
<P>
 Privatization: Global Opportunities and Lessons   <U>Slides </u>
<P>
 The Future of Retail: Bricks, Clicks and Everything In Between   <u>Slides </u>
    <P>
The Power Shift in Entertainment and the New Media   <u>Slides</u> 
    <P>
<B><u>Wednesday March 21, 2001</u></b> 
<P>
General Session - 8:00 am-9:30 am<br>
 The United States: Economics, Markets and Policy   <u>Slides </u>
    <P>
9:45 am-11:15 am: Concurrent Sessions 
<P>
 The Wired and Wireless Telecommunications Revolution   <U>Slides </u>
    <P>
 Mexico and Latin America: New Optimism?   <u>Slides </u>
    <P>
 Venture Capital and Entrepreneurs: Financing Ideas   <u>Slides </u>
  <P>  
11:25 am-1:00 pm: Concurrent Sessions 
<P>
 Human Capital: The Defining Asset of the 21st Century   <U>Slides </u>
    <P>
 Russia, Eurasia and the CIS    
  <P>  
 Financial Solutions for the Global Environment   <U>Slides </u>
   <P> 
 Rebuilding The Balance Sheet: Turning Problems into Growth    <u>Slides </u>
   <P> 
Lunch - 1:00 pm-2:30 pm<br>
 Michael Milken and the Nobel Laureates in Chemistry and Medicine / Physiology  <u>Slides</u> 
<P>
2:45 pm-4:00 pm: Concurrent Sessions 
<P>
 The Biotechnology and Genetic Breakthroughs   <u>Slides </u>
<P>
 China: The Greatest Promise   <U>Slides </u>
   <P>
 Emerging Market Risk     <U>Slides </u>
 <P>",NULL,,,,,,,,,3,19,2001,3,21,NULL,,"The Beverly Hilton Hotel<BR>
Los Angeles, California",,0,0,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x0000000000240e0e}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,2001-03-19 00:00:00.000,NULL,NULL,36967,NULL,NULL,NULL,NULL,NULL,NULL
2,gc02,Global Conference 2002,NULL,GC,,NULL,,,,,,,,,4,22,2002,4,24,NULL,,"The Beverly Hilton Hotel<BR>
Los Angeles, CA",,0,1,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x0000000000240e0f}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,2002-04-22 00:00:00.000,NULL,NULL,37366,NULL,NULL,NULL,NULL,NULL,NULL
3,otherevent,Lessons from Lexecon: Battling Back Against Frivolous Securities Lawsuits,NULL,finLabs,"Securities litigation against corporate America could impact the economy as the fear of lawsuits by investors and the costs of defending them by companies divert capital away from productive uses, presenters at this roundtable discussion said.<p>""I've talked to investors from all over the world, and their deep concern is securities litigation,"" said Mickey Kantor, former U.S. Secretary of Commerce and now a partner in the law firm of Mayer, Brown & Platt. ""It strikes fear in their hearts.""<p>With investment driving the economic boom of the '90s in the U.S., the economy could suffer if investors are scared away from American companies because of the increase in class-action lawsuits alleging securities fraud.<p>""Without that investment, which can be inhibited by the fear of these kinds of lawsuits, we're going to shoot ourselves in the foot,"" said Kantor, who also served three years as U.S. Trade Representative.<p>To prevent this from happening, several things are needed &#151; from tort legislation and tougher judges to a legal strategy that fights these lawsuits based on sound economic research and theory, said members of the panel, who were also attorneys from Mayer, Brown & Platt, co-sponsor of the event.<p>The firm recently won a $50-million settlement in a lawsuit against Milberg Weiss Bershad Hynes and Lerach, a New York law firm that has sued hundreds of companies on behalf of shareholders. Mayer, Brown & Platt sued the firm, accusing it of abusing the legal process by trying to destroy the reputation of Lexecon Inc., a consulting firm that has testified on behalf of companies sued by Milberg Weiss.<p>In April, a jury in Chicago awarded Lexecon $45 million in compensatory damages in the case. The two sides agreed to a $50 million settlement before the jury could decide on punitive damages.<p>The volume of securities class-action lawsuits in federal court has been climbing. Recent research described in a Policy Short published by the Milken Institute, ""The Economic Costs of Frivolous Securities Litigation,"" shows that in 1998, the number of such suits filed was close to one suit a day for every trading day that the stock market was open, breaking the record set in 1994. The research also shows that smaller companies &#151; those that are the fastest-growing in the country, such as high-tech firms &#151; are being sued more frequently than larger companies.<p>Alan N. Salpeter, the lead attorney in the Milberg Weiss case for Mayer, Brown & Platt, said the Lexecon victory should send a signal to corporate America that it needs to fight securities lawsuits, not just settle them.<p>""If everybody settles these cases, then we'll never make law in this area,"" said Salpeter. ""We'll never be able to fight back as a defense bar and establish some principals that are helpful. There's only so much that can be done in passing legislation. But there's a lot that can be done through the appellate process.""<p>One of the lessons of the Lexecon case, he added, is that it ""was clearly about someone who fought back.""<p>Other solutions offered by the panelists included:<p>When building a defense, lawyers must think of the economics of the case. Many factors cause stock prices to fall, he said. Build a strong economics case as to why the price fell.<p>Tort litigation. The Private Securities Litigation Reform Act of 1995 helped reduce the number of frivolous lawsuits, but the numbers are climbing back. New legislation is needed to curb these suits. 
Passing new laws is a long and difficult process, however, said two other speakers &#151; Philip R. Recht, former deputy administrator of the National Highway Traffic Safety Administration who joined Mayer, Brown & Platt this year, and Mark H. Gitenstein, former chief counsel to the U.S. Senate Judiciary Committee who has been a partner with the firm since 1990.<p>They, along with Kantor, stressed the need for defense lawyers to be as aggressive as plaintiffs' attorneys have been in taking their case to politicians in Washington and Sacramento.<p>Gitenstein said he has learned four important lessons from his years in Washington:<p>""There has to be a good public policy reason for reform."" It's not just who you know, he said, but ""what you know"" that counts.<p>""You cannot do tort reform in Washington unless it is bipartisan.""<p>Be prepared for incremental reform. ""You can't go for the whole enchilada,"" he said. ""You're not going to get the whole enchilada.""<p>Broad reform is possible, but only when the issue is positioned in a way that ""the average American can understand it.""",NULL,,,,,,,,,6,14,1999,NULL,NULL,NULL,,"Milken Institute Conference Center <BR>
Santa Monica, CA",,0,0,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x00000000002638a0}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,1999-06-14 00:00:00.000,NULL,NULL,36323,NULL,NULL,NULL,NULL,NULL,NULL
4,SOS02,2002 California State of the State Conference,NULL,sos,,,,,,,,,,,9,26,2002,NULL,NULL,NULL,,"Century Plaza Hotel<br>
Los Angeles, California",,0,0,"In an event best described as a “tough love” view of California, speakers at the 4th annual State of the State Conference lauded the state’s many strengths, but warned that problems - if unfixed - threaten its future. 

",1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x0000000000240e11}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,2002-09-26 00:00:00.000,NULL,NULL,37523,NULL,NULL,NULL,NULL,NULL,NULL
5,otherevent_5,Milken Institute-Israel private/public partnership conferences,NULL,Forums,"What do the Yarkon River and a parking garage in Tel Aviv have in common?<p>Both are the subject of initiatives by Milken Institute researchers who are working with officials in Israel on ways to finance urban development projects using new and innovative financial tools.<p>

The Institute co-sponsored two conferences at Tel Aviv University in June 2002 that focused on two projects &#151; the cleanup of the Yarkon River and economic development in Tel Aviv.<p>

At the heart of both efforts are two of the Institute&#39;s top research priorities &#151; using private/public partnerships and innovative financial tools, not just government funds, to save the earth&#39;s ecosystems, and to increase economic development in the Middle East.<p>

The first conference, held June 10, examined a variety of financial tools that could help pay for the cleanup of the Yarkon River, Israel&#39;s second-largest river, which runs through seven different municipalities in the most densely populated area of Israel. Damage to the river includes water diversion, sewage outfall and habitat destruction.<p>

The conference, &quot;New Methods for Financing Environmental Projects in Israel / Case Study: Yarkon River Cleanup,&quot; brought together finance and environmental officials, academic experts and business leaders to look at ways to pay for rehabilitating the river, such as a mix of private and public funding.<p>

The day-long event was co-sponsored by the Tel Aviv-Los Angeles Partnership and the Recanti Graduate School of Business and the Porter School of Environmental Studies at Tel Aviv University. <p>

The second conference, &quot;Community Economic Development in Tel Aviv-Yafo,&quot; held June 13, focused on how to use private and public financing to fund urban development in Tel Aviv.<p>

It looked at the &quot;Genesis&quot; model in Los Angeles, which combines private and public financial tools for economic development, and how its successes could be transferred to initiatives in Tel Aviv.<p>

Among those speaking was Glenn Yago, Director of Capital Studies at the Milken Institute and a host of private and public officials from Israel. The event was co-sponsored by the Tel Aviv&#151;Los Angeles Partnership and the Tel Aviv Municipality.<p>

The Tel Aviv-Los Angeles Partnership is active in joint projects between the two cities in the areas of economic development, education, culture and others. Most recently, the Milken Institute and the Partnership worked together on creating a municipal bond to raise money for the construction of a parking lot in Tel Aviv &#151; the first of its kind of financing in Israel.<p>

Both of the Israeli efforts are tied to the wider work of the Institute&#39;s Capital Studies group on finding innovative financial solutions to help solve long-standing social, economic and environmental problems.",,,,,,,,,,6,2,2002,NULL,NULL,NULL,,"Tel Aviv, Israel",,0,0,,1,NULL,NULL,NULL,0,,"{length = 8, bytes = 0x0000000000240e12}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,2002-06-02 00:00:00.000,NULL,NULL,37407,NULL,NULL,NULL,NULL,NULL,NULL
11,otherevent,What's Next for Technology Stocks?,NULL,Forums,"Early last year, the Nasdaq was over 5,000. Many dot.coms with little revenue sported market caps that far exceeded those of profitable retail companies hundreds of times their size. What a difference a year makes! The Nasdaq dropped nearly 70% before its recent partial recovery, and many dot.coms have fallen by the wayside.<p>

So where do investors turn today? Has the technology sector bottomed out? Is it time to get back in? In this talk, <b>Matthew Fitzmaurice</b> will discuss volatility in the market for technology stocks and provide his unique insights on how to take advantage of it.<p>

Amerindo pioneered the management of institutional portfolios comprised of emerging technology stocks. It is a leader in the management of institutional portfolios having a focus on Internet and Internet-related issuers. Since its inception in 1980, Amerindo has worked exclusively in the specialized area of investing in emerging-growth companies in technology, health sciences, and biotechnology. Today, Amerindo, has more than $4 billion under management and is exploiting the ongoing explosion in Internet technology, which is changing the landscape of business, consumer and government markets, both domestically and internationally.<p>

Fitzmaurice is Chief Investment Officer for Amerindo with 13 years of investment and industry experience. He is also the Managing Member of Vertex Capital Management, LLC. Prior to his joining Amerindo, he was a Partner at Wessels Arnold & Henderson, and an attorney at Oppenheimer, Wolff & Donnelly, and at Crowell & Moring. He earned his BA from Georgetown University and his JD from Georgetown Law Center.<p>

Amerindo Investment Advisors a leading investment firm specializing in emerging technology companies.  <b>Michael Milken</b>, Chairman of the Institute, will introduce Fitzmaurice and engage him in a dialogue.
",,,,,,,,,,6,4,2001,NULL,NULL,NULL,4:30pm - 6:00pm,"Milken Institute Conference Center<br>
1250 Fourth Street (at Arizona)<br>
Santa Monica, California 90401","Matthew Fitzmaurice, Chief Investment Officer of Amerindo Investment Advisors.",0,0,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x0000000000240e13}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,2001-06-04 00:00:00.000,NULL,NULL,37044,NULL,NULL,NULL,NULL,NULL,NULL
12,otherevent,Why Do Emerging Markets Have So Little Firm-Specific Risk?,NULL,finLabs,"One of the most important roles of markets is to process information. But without secure property rights, judicial efficiency, honest government, and meaningful accounting information, markets cannot allocate capital efficiently and economic growth stands to suffer.<p><b>Bernard Yeung</b> examines how emerging markets are subjected to economy-wide fluctuations to a greater extent than advanced economies because of political conditions that discourage informed trading, and instead foster ""noise"" trading. Yeung is a professor of international business at the University of Michigan Business School. His current research includes trade policies and firm behavior, foreign direct investment, and international trade.<p>",NULL,,,,,,,,,4,17,1998,NULL,NULL,NULL,,"Milken Institute Conference Center <BR>
Santa Monica, CA",,0,0,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x00000000002638a1}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,1998-04-17 00:00:00.000,NULL,NULL,35900,NULL,NULL,NULL,NULL,NULL,NULL
13,otherevent,Financial Instruments and Portfolio Risk,NULL,finLabs,"Do investors really know the risk of their high-yield bonds? Most methods currently used to value these bonds operate on the assumption that interest rates and equity returns are independent. But are they? Professor <b>Theodore Barnhill</b> argues that investors need to take both interest rate and credit risk into account, or else they will seriously underestimate the risk of holding such securities.<p>Barnhill is a professor of finance at George Washington University and the director of its Financial Markets Research Institute, created in 1995 to fund and conduct research in a variety of financial studies. Barnhill also co-founded FinSoft, a financial software development company focusing on security valuation and risk management. His book <i>High Yield Bonds</i>, co-edited with William Maxwell and Mark Shenkman, is forthcoming.",NULL,,,,,,,,,7,7,1998,NULL,NULL,NULL,,"Milken Institute Conference Center <BR>
Santa Monica, CA",,0,0,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x00000000002638a2}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,1998-07-07 00:00:00.000,NULL,NULL,35981,NULL,NULL,NULL,NULL,NULL,NULL
14,otherevent,The Frontiers of Global Economic Development,NULL,finLabs,"How to govern for prosperity will be one of the most important policy puzzles of the next century. Although the study of political economy has provided many answers as to how political arrangements can create incentives for growth, not all leaders govern for prosperity. <p><b>Hilton Root</b>, a Senior Fellow at the Milken Institute and a former senior research fellow at the Hoover Institution and professor in public policy and international policy at Stanford University, discusses these issues as they relate to how paths to economic success or failure begin with the political institutions of sovereign states.<p>Root organized and directed the Hoover Initiative on Economic Growth and Democracy, an advisory group that explores the relationship between economic performance and political choice in order to implement effective policies for developing countries.",NULL,,,,,,,,,4,22,1998,NULL,NULL,NULL,,"Milken Institute Conference Center <BR>
Santa Monica, CA",,0,0,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x00000000002638a3}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,1998-04-22 00:00:00.000,NULL,NULL,35905,NULL,NULL,NULL,NULL,NULL,NULL
15,otherevent,The Government as Venture Capitalist,NULL,finLabs,"The Small Business Innovation Research (SBIR) program, the largest U.S. public venture capital initiative, provided more than $7 billion to small high-technology firms between 1983 and 1997. Harvard Business School Professor <b>Joshua Lerner</b> relates his findings about the long-run impact of the SBIR program, including the growth rate of SBIR awardees compared to other firms, the characteristics of the SBIR awardees that performed the best, and distortions inherent in the award process.<p>Lerner worked for several years on issues in technological innovation and public policy at the Brookings Institution, for a public-private task force in Chicago, and on Capitol Hill. His research focuses on the structure of venture capital organizations and their role in transforming scientific discoveries into commercial products.",NULL,,,,,,,,,4,13,1998,NULL,NULL,NULL,,"Milken Institute Conference Center <BR>
Santa Monica, CA",,0,0,,1,NULL,NULL,NULL,0,NULL,"{length = 8, bytes = 0x00000000002638a4}",NULL,NULL,NULL,2005-10-21 10:30:22.000,2005-10-21 10:30:22.000,1998-04-13 00:00:00.000,NULL,NULL,35896,NULL,NULL,NULL,NULL,NULL,NULL
