room_id,rName,schoolhousecap,roundscap,theatercap,hollowSquare,conference,notes,sortorder,roomGroup,SSMA_TimeStamp,datecreated,datemodified,eventType,lounge,reception,tour,hollowCircle,uShape,boardroom,Capacity
1,International Ballroom,0,1220,0,NULL,NULL,"International Ballroom – banquet rounds (1,030 – 103 rounds of 10)",1,big,"{length = 8, bytes = 0x00000000002ac8fa}",2011-10-21 10:30:22.000,2015-03-27 17:37:45.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,Beverly Hills Ballroom,0,360,504,NULL,NULL,Beverly Hills Ballroom – theatre seating (560),2,big,"{length = 8, bytes = 0x00000000002efb82}",2011-10-21 10:30:22.000,2018-08-24 15:21:19.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,Wilshire Ballroom,0,0,276,NULL,NULL,Wilshire Ballroom – theatre seating (294),3,big,"{length = 8, bytes = 0x00000000002ac8fc}",2011-10-21 10:30:22.000,2013-01-22 13:09:53.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,International Terrace,0,0,181,NULL,NULL,International Terrace – theatre seating (140),5,big,"{length = 8, bytes = 0x00000000002fea14}",2011-10-21 10:30:22.000,2015-03-27 17:38:33.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,International Gallery,0,88,96,67,64,International Gallery – theater (96); w/ table (88),17,small,"{length = 8, bytes = 0x00000000002e63d2}",2011-10-21 10:30:22.000,2018-04-02 09:59:32.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Whittier,0,0,164,108,NULL,Whittier Room – hollow sq. (36 at table/108 in room); theatre seating (175),6,big,"{length = 8, bytes = 0x00000000003292e0}",2011-10-21 10:30:22.000,2021-05-06 12:25:07.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Canon,0,0,104,NULL,NULL,Canon – hollow square (24/93),12,small,"{length = 8, bytes = 0x0000000000312d42}",2011-10-21 10:30:22.000,2015-03-27 17:39:49.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,Dayton,0,0,104,NULL,NULL,Dayton – hollow sq. (24/72); theater (118),13,small,"{length = 8, bytes = 0x0000000000312d43}",2011-10-21 10:30:22.000,2015-03-27 17:40:15.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Palm,0,0,104,91,NULL,Palm – hollow sq. (24/95); theater (108),14,small,"{length = 8, bytes = 0x00000000002d1df0}",2011-10-21 10:30:22.000,2015-03-27 17:39:58.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Sunset,0,0,63,30,NULL,Sunset – hollow sq. (30); theatre seating (63),32,small,"{length = 8, bytes = 0x00000000002d1df3}",2011-10-21 10:30:22.000,2015-03-04 16:08:29.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,Board Room,0,0,0,NULL,22,Board Room – set aside for special requests (18),19,small,"{length = 8, bytes = 0x00000000003281c4}",2011-10-21 10:30:22.000,2019-12-19 15:39:21.000,gc,NULL,NULL,NULL,NULL,NULL,22,22
12,International Lounge,0,0,70,75,NULL,International Lounge – theater seating (70); hollow sq. (24/75),42,other,"{length = 8, bytes = 0x00000000002d1df9}",2011-10-21 10:30:22.000,2013-01-22 13:10:46.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Maple,0,0,104,40,NULL,Maple – hollow sq. (24/93); theater (112),18,small,"{length = 8, bytes = 0x0000000000312f13}",2011-10-21 10:30:22.000,2017-03-25 14:57:43.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Roxbury,0,0,72,44,NULL,Roxbury – hollow sq. (24/44); theater (72),31,small,"{length = 8, bytes = 0x00000000002d1df2}",2011-10-21 10:30:22.000,2013-01-22 13:16:23.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,Brighton,0,0,104,NULL,NULL,Brighton – hollow square (24/89); theatre seating (128),15,small,"{length = 8, bytes = 0x0000000000312d44}",2011-10-21 10:30:22.000,2015-03-27 17:39:25.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,Not Assigned,NULL,NULL,NULL,NULL,NULL,NULL,99,other,"{length = 8, bytes = 0x00000000002ac90a}",2011-10-21 10:30:22.000,2013-01-22 13:13:29.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Milken Institute West Conference Room,NULL,NULL,NULL,20,NULL,NULL,39,other,"{length = 8, bytes = 0x00000000002d1df6}",2011-10-21 10:30:22.000,2013-01-22 13:36:19.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,1250 Conference Center,NULL,250,NULL,NULL,NULL,NULL,99,other,"{length = 8, bytes = 0x00000000002ac90c}",2011-10-21 10:30:22.000,2013-01-22 13:37:01.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Getty Center,NULL,NULL,NULL,NULL,NULL,NULL,40,other,"{length = 8, bytes = 0x00000000002d1df7}",2011-10-21 10:30:22.000,2013-01-22 13:10:28.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,Hilton Lobby,NULL,NULL,NULL,NULL,NULL,NULL,41,other,"{length = 8, bytes = 0x00000000002d1df8}",2011-10-21 10:30:22.000,2013-01-22 13:10:36.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Lobby and International Foyer,NULL,NULL,NULL,NULL,NULL,NULL,99,other,"{length = 8, bytes = 0x00000000002ac90f}",2011-10-21 10:30:22.000,2013-01-22 13:13:08.000,gc,NULL,NULL,NULL,NULL,NULL,NULL,NULL
