id,panel_id,track_id,role,datecreated,datemodified
1,538,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
2,538,6,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
3,NULL,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
4,593,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
5,594,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
6,595,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
7,596,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
8,597,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
9,598,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
10,599,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
11,600,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
12,601,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
13,602,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
14,603,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
15,604,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
16,605,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
17,606,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
18,607,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
19,608,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
20,609,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
21,610,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
22,611,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
23,612,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
24,613,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
25,614,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
26,615,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
27,616,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
28,617,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
29,618,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
30,619,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
31,620,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
32,621,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
33,622,4,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
34,623,4,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
35,624,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
36,625,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
37,626,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
38,627,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
39,628,4,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
40,629,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
41,630,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
42,631,4,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
43,632,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
44,633,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
45,634,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
46,635,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
47,636,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
48,639,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
